Timestamp,Please insert your Microworkers ID,Gender,Age,Which country do you live in? (Please use the Alpha 2-code from  https://en.wikipedia.org/wiki/ISO_3166-1) ,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please rate the quality of the image,Please select option very good here,Which device did you use for this survey?,How are the lightning conditions around you?,Do you wear visual aids?,What is your year of birth?
19/12/2016 17:36:09,gs_matthias,Male,26-35 years,DE,4,4,1,3,5,4,3,1,4,3,3,4,2,3,3,4,3,2,1,4,5,PC,Normal,No,1983
19/12/2016 17:51:59,b6b1c2fd,Male,36-45 years,RO,4,3,1,3,4,3,4,1,4,3,5,4,2,4,5,3,4,2,2,5,1,Laptop,Normal,No,1980
19/12/2016 17:52:15,86c8f83a,Male,18-25 years,RS,4,5,1,2,5,3,3,1,2,2,3,2,2,4,5,3,3,2,2,5,1,PC,Dark,No,1996
19/12/2016 17:53:01,d7fecef0,Male,26-35 years,RS,4,4,2,3,5,4,4,1,3,3,4,4,3,5,5,4,4,3,2,4,1,PC,Normal,No,1988
19/12/2016 17:53:03,6d6c5b99,Male,26-35 years,IN,5,5,1,4,5,4,4,1,4,3,4,4,3,5,5,4,4,3,3,4,1,Laptop,Normal,No,1984
19/12/2016 17:53:13,A very good image,Male,18-25 years,BAgladesh,3,4,4,4,5,4,5,4,5,3,2,5,5,4,4,4,4,4,5,5,5,Laptop,Normal,No,1993
19/12/2016 17:53:33,e705c47a,Male,18-25 years,Bangladesh,2,3,1,4,3,2,2,1,2,3,4,3,2,4,4,2,3,1,2,3,1,PC,Normal,"Yes, glasses",1993
19/12/2016 17:54:08,f013ca95,Male,18-25 years,,3,,1,2,4,3,2,1,4,3,3,4,2,4,5,3,4,2,2,5,1,PC,Normal,No,1994
19/12/2016 17:54:15,bd4b91e0,Male,18-25 years,bangladesh,5,5,5,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,PC,Normal,"Yes, glasses",
19/12/2016 17:54:19,b0e8a34b,Male,36-45 years,RS,4,4,1,3,3,2,2,1,3,4,4,4,3,4,5,3,3,2,2,3,1,PC,Normal,"Yes, glasses",1978
19/12/2016 17:54:27,8571a04e,Male,18-25 years,BD,3,4,1,2,5,3,4,1,3,2,3,4,3,4,5,2,3,2,3,4,1,Laptop,Normal,No,1993
19/12/2016 17:55:14,5,Male,26-35 years,Bosnia and Herzegovina,5,5,2,3,5,4,4,1,2,3,5,5,3,4,5,3,4,3,3,5,1,PC,Normal,No,1992
19/12/2016 17:55:29,"[6b57922b] bd, Username: Micro Workers",Male,26-35 years,BD,3,4,1,2,4,2,2,1,2,2,2,3,1,5,5,2,5,1,1,5,1,PC,Normal,No,1990
19/12/2016 17:56:07,2 A very good image,Female,18-25 years,,4,5,2,3,4,3,3,1,3,3,4,5,3,3,4,2,4,1,2,4,1,PC,Normal,"Yes, glasses",1992
19/12/2016 17:56:10,36019d2f,Male,Less than 18 year,RS,4,5,1,2,5,3,4,1,4,3,4,4,3,5,5,3,4,1,1,5,1,PC,Dark,No,1999
19/12/2016 17:56:30,95d1d642,Male,18-25 years,Bangladesh,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,PC,Normal,No,1995
19/12/2016 17:56:32,a4097832,Female,18-25 years,,3,4,4,5,2,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,2,PC,Normal,No,1976
19/12/2016 17:57:03,20a59290,Male,18-25 years,BD,4,4,1,2,4,3,2,1,4,3,4,4,2,5,5,2,4,2,2,5,1,Laptop,Normal,No,12/10/1993
19/12/2016 17:57:20,5,Male,18-25 years,BD,5,1,1,5,5,1,5,1,5,5,5,5,1,1,5,1,,1,1,1,1,Laptop,Normal,No,1994
19/12/2016 17:57:24,f51993c3,Male,26-35 years,BA,3,4,1,3,5,4,4,1,4,4,4,4,3,4,5,4,4,2,2,4,1,PC,Normal,No,1983
19/12/2016 17:57:33,12835569,Male,36-45 years,RS,4,5,1,3,4,5,4,1,3,3,3,4,3,3,4,3,4,2,2,4,1,Laptop,Normal,No,1971
19/12/2016 17:57:47,8915d955,Male,18-25 years,	BD,4,5,3,3,5,3,4,2,3,3,4,5,3,4,5,3,4,3,3,5,2,PC,Normal,No,1992
19/12/2016 17:58:15,550b4014,Female,26-35 years,BD,5,5,1,3,5,4,5,1,5,4,5,5,4,5,5,4,5,2,3,5,1,PC,Bright,No,1989
19/12/2016 17:58:58,5c8f3a0b,Male,18-25 years,bd,3,4,1,2,5,4,4,1,2,1,3,5,2,4,5,4,5,3,2,5,1,PC,Normal,No,1993
19/12/2016 17:59:15,pharmacistrubel@gmail.com,Male,18-25 years,ISO 3166-2:BD,5,4,5,4,4,4,5,5,5,5,5,5,3,4,5,4,3,4,4,4,4,Laptop,Normal,No,21/09/1996
19/12/2016 17:59:22,48a7db59,Male,26-35 years,BD,4,3,1,2,4,3,3,1,3,4,4,5,4,4,5,3,4,2,3,5,1,Laptop,Normal,No,1990
19/12/2016 17:59:56,0a7cc685,Male,18-25 years,PH,2,3,1,2,4,2,2,1,2,2,3,3,2,3,4,2,3,1,1,4,1,PC,Normal,No,1991
19/12/2016 18:00:26, [51966914] bd,Male,18-25 years,BD,4,5,1,2,4,3,2,1,2,2,3,4,2,3,4,3,3,3,2,3,1,PC,Normal,No,1989
19/12/2016 18:00:33,312520a2,Male,18-25 years,BD,2,2,2,1,3,2,2,1,2,2,2,2,1,1,2,3,3,2,2,4,1,Laptop,Normal,No,1996
19/12/2016 18:00:33,da2f5290,Male,18-25 years,Bangladesh,4,5,2,3,5,4,4,1,3,3,4,5,3,4,5,4,5,2,3,5,1,Laptop,Normal,No,24/09.1990
19/12/2016 18:01:03,CatalinSirbi,Male,26-35 years,Romania,4,4,1,3,5,3,3,1,3,3,3,5,2,3,5,3,5,2,2,4,2,Laptop,Normal,No,1984
19/12/2016 18:02:17,112d878c,Male,18-25 years,BD,4,3,1,3,5,3,3,1,3,4,4,4,3,4,5,3,4,3,3,5,1,PC,Bright,No,1992
